Id,Longitude,Latitude,Accuracy,TimeStamp,Date,DateTime,IsGPSOn,BatLevel,Provider,Bearing,DeviceTime,RepId
89,80.10077,6.13843,8.5,1745956308707,30/04/2025 12:00:00 AM,29/04/2025 7:51:49 PM,True,55,gps,0,30/04/2025 1:21:47 AM,373
90,80.10068,6.1384,5.5,1745956413000,30/04/2025 12:00:00 AM,29/04/2025 7:53:33 PM,True,55,gps,206.2,30/04/2025 1:23:31 AM,373
91,80.10066,6.13851,25.754,1745956604860,30/04/2025 12:00:00 AM,29/04/2025 7:56:45 PM,True,55,network,0,30/04/2025 1:26:44 AM,373
92,80.10069,6.13843,4.5,1745956608691,30/04/2025 12:00:00 AM,29/04/2025 7:56:49 PM,True,55,gps,0,30/04/2025 1:26:47 AM,373
93,80.10068,6.13852,22.317,1745956905161,30/04/2025 12:00:00 AM,29/04/2025 8:01:45 PM,True,55,network,0,30/04/2025 1:31:45 AM,373
94,80.10072,6.13843,7.5,1745956908720,30/04/2025 12:00:00 AM,29/04/2025 8:01:49 PM,True,55,gps,0,30/04/2025 1:31:47 AM,373
95,80.10064,6.13846,5,1745956945000,30/04/2025 12:00:00 AM,29/04/2025 8:02:25 PM,True,55,gps,132.4,30/04/2025 1:32:23 AM,373
96,80.10072,6.1384,5.5,1745957140000,30/04/2025 12:00:00 AM,29/04/2025 8:05:40 PM,True,55,gps,76,30/04/2025 1:35:38 AM,373
97,80.10072,6.1384,9,1745957208712,30/04/2025 12:00:00 AM,29/04/2025 8:06:49 PM,True,55,gps,0,30/04/2025 1:36:47 AM,373
98,80.10079,6.13846,5.5,1745957232000,30/04/2025 12:00:00 AM,29/04/2025 8:07:12 PM,True,55,gps,53.3,30/04/2025 1:37:10 AM,373
99,80.10068,6.1384,7.5,1745957283000,30/04/2025 12:00:00 AM,29/04/2025 8:08:03 PM,True,55,gps,233,30/04/2025 1:38:01 AM,373
100,80.10056,6.13865,38,1745957290041,30/04/2025 12:00:00 AM,29/04/2025 8:08:10 PM,True,55,gps,0,30/04/2025 1:38:08 AM,373
101,80.10081,6.1385,36,1745957292018,30/04/2025 12:00:00 AM,29/04/2025 8:08:12 PM,True,55,gps,0,30/04/2025 1:38:10 AM,373
102,80.10062,6.13844,18,1745957293960,30/04/2025 12:00:00 AM,29/04/2025 8:08:14 PM,True,55,gps,0,30/04/2025 1:38:12 AM,373
103,80.10072,6.13844,7,1745957302000,30/04/2025 12:00:00 AM,29/04/2025 8:08:22 PM,True,55,gps,60.3,30/04/2025 1:38:20 AM,373
104,80.10068,6.13852,22.55,1745957508419,30/04/2025 12:00:00 AM,29/04/2025 8:11:48 PM,True,55,network,0,30/04/2025 1:41:48 AM,373
105,80.10074,6.13841,17.5,1745957509874,30/04/2025 12:00:00 AM,29/04/2025 8:11:50 PM,True,55,gps,168.5,30/04/2025 1:41:48 AM,373
106,80.10074,6.13842,3,1745957806000,30/04/2025 12:00:00 AM,29/04/2025 8:16:46 PM,True,55,gps,0,30/04/2025 1:46:44 AM,373
107,80.10067,6.13852,125.091,1745958104893,30/04/2025 12:00:00 AM,29/04/2025 8:21:45 PM,True,55,network,0,30/04/2025 1:51:44 AM,373
108,80.10074,6.13842,5.5,1745958107889,30/04/2025 12:00:00 AM,29/04/2025 8:21:48 PM,True,55,gps,0,30/04/2025 1:51:46 AM,373
109,80.1007,6.13843,26.659,1745958371377,30/04/2025 12:00:00 AM,29/04/2025 8:26:11 PM,True,55,network,0,30/04/2025 1:56:11 AM,373
110,80.10066,6.13851,16.37,1745958391347,30/04/2025 12:00:00 AM,29/04/2025 8:26:31 PM,True,55,network,0,30/04/2025 1:56:31 AM,373
111,80.10066,6.13851,111.21301,1745958404896,30/04/2025 12:00:00 AM,29/04/2025 8:26:45 PM,True,55,network,0,30/04/2025 1:56:44 AM,373
112,80.10077,6.13841,8,1745958409000,30/04/2025 12:00:00 AM,29/04/2025 8:26:49 PM,True,55,gps,86.3,30/04/2025 1:56:47 AM,373
113,80.10068,6.13839,5.5,1745958444000,30/04/2025 12:00:00 AM,29/04/2025 8:27:24 PM,True,55,gps,254,30/04/2025 1:57:22 AM,373
114,80.10077,6.13839,4.5,1745958511000,30/04/2025 12:00:00 AM,29/04/2025 8:28:31 PM,True,55,gps,114.3,30/04/2025 1:58:29 AM,373
115,80.1007,6.13843,26.837,1745958692269,30/04/2025 12:00:00 AM,29/04/2025 8:31:32 PM,True,55,network,0,30/04/2025 2:01:32 AM,373
116,80.1007,6.13843,114.939,1745958704855,30/04/2025 12:00:00 AM,29/04/2025 8:31:45 PM,True,55,network,0,30/04/2025 2:01:44 AM,373
117,80.10079,6.13839,9,1745958709447,30/04/2025 12:00:00 AM,29/04/2025 8:31:49 PM,True,55,gps,222.9,30/04/2025 2:01:48 AM,373
118,80.10068,6.13852,102.65099,1745959004855,30/04/2025 12:00:00 AM,29/04/2025 8:36:45 PM,True,55,network,0,30/04/2025 2:06:44 AM,373
119,80.10077,6.1384,12.5,1745959009206,30/04/2025 12:00:00 AM,29/04/2025 8:36:49 PM,True,55,gps,40.8,30/04/2025 2:06:48 AM,373
120,80.10068,6.13838,7,1745959056000,30/04/2025 12:00:00 AM,29/04/2025 8:37:36 PM,True,55,gps,255.4,30/04/2025 2:07:34 AM,373
121,80.10066,6.13851,88.96401,1745959304913,30/04/2025 12:00:00 AM,29/04/2025 8:41:45 PM,True,55,network,0,30/04/2025 2:11:44 AM,373
122,80.10073,6.13838,18,1745959308981,30/04/2025 12:00:00 AM,29/04/2025 8:41:49 PM,True,55,gps,0,30/04/2025 2:11:47 AM,373
123,80.10069,6.13847,86.67101,1745959604893,30/04/2025 12:00:00 AM,29/04/2025 8:46:45 PM,True,55,network,0,30/04/2025 2:16:44 AM,373
124,80.10072,6.13844,4.5,1745959608977,30/04/2025 12:00:00 AM,29/04/2025 8:46:49 PM,True,55,gps,0,30/04/2025 2:16:47 AM,373
125,80.10079,6.13838,4,1745959704000,30/04/2025 12:00:00 AM,29/04/2025 8:48:24 PM,True,55,gps,90.3,30/04/2025 2:18:22 AM,373
126,80.10069,6.13834,4.5,1745959727000,30/04/2025 12:00:00 AM,29/04/2025 8:48:47 PM,True,55,gps,211.1,30/04/2025 2:18:46 AM,373
